kode_prov,nama_prov,jenis_pdrb,kode_komp,nama_komp,nilai_jt
11,Aceh,PRODUKSI,I-01,Pertanian Tanaman Pangan ,5870077.53234134
11,Aceh,PRODUKSI,I-02,"Pertanian Tanaman Hortikultura Semusim, Hortikultura Tahunan, dan Lainnya",5883898.869499674
11,Aceh,PRODUKSI,I-03,Perkebunan Semusim dan Tahunan,10247247.968196305
11,Aceh,PRODUKSI,I-04,Peternakan ,4150957.82701328
11,Aceh,PRODUKSI,I-05,Jasa Pertanian dan Perburuan  ,726496.8213230316
11,Aceh,PRODUKSI,I-06,Kehutanan dan Penebangan Kayu,1999586.6101917743
11,Aceh,PRODUKSI,I-07,Perikanan ,6732957.205807153
11,Aceh,PRODUKSI,I-08,"Pertambangan Minyak, Gas dan Panas Bumi",2173681.3618343133
11,Aceh,PRODUKSI,I-09,Pertambangan Batubara dan Lignit,285164.8057371937
11,Aceh,PRODUKSI,I-10,Pertambangan Bijih Logam,215655.1246571382
11,Aceh,PRODUKSI,I-11,Pertambangan dan Penggalian Lainnya,3408478.739480906
11,Aceh,PRODUKSI,I-12,Industri Batubara dan Pengilangan Migas,0
11,Aceh,PRODUKSI,I-13,Industri Makanan dan Minuman ,3681767.2825453714
11,Aceh,PRODUKSI,I-14,Industri Pengolahan Tembakau,48154.68415020447
11,Aceh,PRODUKSI,I-15,Industri Tekstil dan Pakaian Jadi,651347.6675276945
11,Aceh,PRODUKSI,I-16,"Industri Kulit, Barang dari Kulit dan Alas Kaki ",23346.28355415776
11,Aceh,PRODUKSI,I-17,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ",365449.24148931785
11,Aceh,PRODUKSI,I-18,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman ",82412.56653196028
11,Aceh,PRODUKSI,I-19,"Industri Kimia, Farmasi dan Obat Tradisional",1475274.9529077224
11,Aceh,PRODUKSI,I-20,"Industri Karet, Barang dari Karet dan Plastik",111570.01052497135
11,Aceh,PRODUKSI,I-21,Industri Barang Galian bukan Logam,911459.8374751445
11,Aceh,PRODUKSI,I-22,Industri Logam Dasar ,7230.916919466473
11,Aceh,PRODUKSI,I-23,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",768401.2975421367
11,Aceh,PRODUKSI,I-24,Industri Mesin dan Perlengkapan YTDL,35118.883734763134
11,Aceh,PRODUKSI,I-25,Industri Alat Angkutan,28664.006265775257
11,Aceh,PRODUKSI,I-26,Industri Furnitur,368637.12970036373
11,Aceh,PRODUKSI,I-27,"Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan",607337.8019001203
11,Aceh,PRODUKSI,I-28,Ketenagalistrikan ,536749.3586124295
11,Aceh,PRODUKSI,I-29,Pengadaan Gas dan Produksi Es,53013.46199820213
11,Aceh,PRODUKSI,I-30,"Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang",282307.8735285343
11,Aceh,PRODUKSI,I-31,Konstruksi,13119195.012468794
11,Aceh,PRODUKSI,I-32,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",2483962.4204132603
11,Aceh,PRODUKSI,I-33,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",17040924.753753975
